Station_ID,Year, Month, Monthly_MSL, Linear_Trend, High_Conf., Low_Conf.
"Dauphin Island, AL",1966,4,-0.088,-0.097,-0.077,-0.116
"Dauphin Island, AL",1966,7,-0.092,-0.096,-0.076,-0.115
"Dauphin Island, AL",1966,8,-0.12,-0.095,-0.076,-0.115
"Dauphin Island, AL",1966,11,-0.139,-0.094,-0.075,-0.114
"Dauphin Island, AL",1966,12,-0.119,-0.094,-0.074,-0.113
"Dauphin Island, AL",1967,1,-0.099,-0.094,-0.074,-0.113
"Dauphin Island, AL",1967,2,-0.091,-0.093,-0.074,-0.113
"Dauphin Island, AL",1967,3,-0.113,-0.093,-0.074,-0.112
"Dauphin Island, AL",1967,4,-0.079,-0.093,-0.073,-0.112
"Dauphin Island, AL",1967,5,-0.086,-0.092,-0.073,-0.111
"Dauphin Island, AL",1967,6,-0.013,-0.092,-0.073,-0.111
"Dauphin Island, AL",1967,7,-0.067,-0.091,-0.072,-0.111
"Dauphin Island, AL",1967,8,-0.043,-0.091,-0.072,-0.11
"Dauphin Island, AL",1967,9,-0.085,-0.091,-0.072,-0.11
"Dauphin Island, AL",1967,10,-0.126,-0.09,-0.071,-0.109
"Dauphin Island, AL",1967,11,-0.081,-0.09,-0.071,-0.109
"Dauphin Island, AL",1967,12,0.015,-0.09,-0.071,-0.109
"Dauphin Island, AL",1968,1,-0.017,-0.089,-0.071,-0.108
"Dauphin Island, AL",1968,2,-0.106,-0.089,-0.07,-0.108
"Dauphin Island, AL",1968,3,-0.144,-0.089,-0.07,-0.107
"Dauphin Island, AL",1968,4,-0.112,-0.088,-0.07,-0.107
"Dauphin Island, AL",1968,5,-0.154,-0.088,-0.069,-0.107
"Dauphin Island, AL",1968,6,-0.175,-0.088,-0.069,-0.106
"Dauphin Island, AL",1968,7,-0.074,-0.087,-0.069,-0.106
"Dauphin Island, AL",1968,8,-0.062,-0.087,-0.068,-0.106
"Dauphin Island, AL",1968,9,-0.109,-0.087,-0.068,-0.105
"Dauphin Island, AL",1968,10,-0.135,-0.086,-0.068,-0.105
"Dauphin Island, AL",1968,11,-0.179,-0.086,-0.068,-0.104
"Dauphin Island, AL",1968,12,-0.153,-0.086,-0.067,-0.104
"Dauphin Island, AL",1969,1,-0.053,-0.085,-0.067,-0.104
"Dauphin Island, AL",1969,2,-0.002,-0.085,-0.067,-0.103
"Dauphin Island, AL",1969,3,-0.104,-0.085,-0.066,-0.103
"Dauphin Island, AL",1969,7,-0.128,-0.083,-0.065,-0.101
"Dauphin Island, AL",1969,8,-0.059,-0.083,-0.065,-0.101
"Dauphin Island, AL",1971,6,-0.211,-0.075,-0.058,-0.092
"Dauphin Island, AL",1971,7,-0.119,-0.075,-0.058,-0.092
"Dauphin Island, AL",1971,8,-0.092,-0.075,-0.058,-0.092
"Dauphin Island, AL",1971,9,-0.048,-0.074,-0.057,-0.091
"Dauphin Island, AL",1971,10,-0.059,-0.074,-0.057,-0.091
"Dauphin Island, AL",1971,11,0.005,-0.074,-0.057,-0.09
"Dauphin Island, AL",1971,12,0.07,-0.073,-0.056,-0.09
"Dauphin Island, AL",1972,1,0.063,-0.073,-0.056,-0.09
"Dauphin Island, AL",1972,2,-0.087,-0.073,-0.056,-0.089
"Dauphin Island, AL",1972,3,-0.037,-0.072,-0.056,-0.089
"Dauphin Island, AL",1972,4,-0.03,-0.072,-0.055,-0.089
"Dauphin Island, AL",1972,5,0.005,-0.072,-0.055,-0.088
"Dauphin Island, AL",1972,6,-0.004,-0.071,-0.055,-0.088
"Dauphin Island, AL",1972,7,0.003,-0.071,-0.054,-0.087
"Dauphin Island, AL",1972,8,-0.101,-0.071,-0.054,-0.087
"Dauphin Island, AL",1972,9,-0.051,-0.07,-0.054,-0.087
"Dauphin Island, AL",1972,10,-0.001,-0.07,-0.053,-0.086
"Dauphin Island, AL",1972,11,-0.033,-0.069,-0.053,-0.086
"Dauphin Island, AL",1972,12,-0.028,-0.069,-0.053,-0.085
"Dauphin Island, AL",1973,1,0.06,-0.069,-0.052,-0.085
"Dauphin Island, AL",1973,2,0.013,-0.068,-0.052,-0.085
"Dauphin Island, AL",1973,3,0.106,-0.068,-0.052,-0.084
"Dauphin Island, AL",1973,4,0.078,-0.068,-0.052,-0.084
"Dauphin Island, AL",1973,5,-0.056,-0.067,-0.051,-0.084
"Dauphin Island, AL",1973,6,-0.056,-0.067,-0.051,-0.083
"Dauphin Island, AL",1973,7,-0.101,-0.067,-0.051,-0.083
"Dauphin Island, AL",1973,8,-0.071,-0.066,-0.05,-0.082
"Dauphin Island, AL",1973,9,-0.042,-0.066,-0.05,-0.082
"Dauphin Island, AL",1973,10,-0.019,-0.066,-0.05,-0.082
"Dauphin Island, AL",1973,11,0.023,-0.065,-0.049,-0.081
"Dauphin Island, AL",1973,12,-0.01,-0.065,-0.049,-0.081
"Dauphin Island, AL",1974,1,0.063,-0.065,-0.049,-0.08
"Dauphin Island, AL",1974,2,0.013,-0.064,-0.049,-0.08
"Dauphin Island, AL",1974,3,-0.034,-0.064,-0.048,-0.08
"Dauphin Island, AL",1974,4,0.023,-0.064,-0.048,-0.079
"Dauphin Island, AL",1974,5,0.029,-0.063,-0.048,-0.079
"Dauphin Island, AL",1974,6,0.017,-0.063,-0.047,-0.079
"Dauphin Island, AL",1974,7,-0.07,-0.063,-0.047,-0.078
"Dauphin Island, AL",1974,8,-0.049,-0.062,-0.047,-0.078
"Dauphin Island, AL",1974,9,0.001,-0.062,-0.046,-0.077
"Dauphin Island, AL",1974,10,-0.031,-0.062,-0.046,-0.077
"Dauphin Island, AL",1974,11,-0.072,-0.061,-0.046,-0.077
"Dauphin Island, AL",1974,12,-0.031,-0.061,-0.046,-0.076
"Dauphin Island, AL",1975,2,0.092,-0.06,-0.045,-0.075
"Dauphin Island, AL",1975,3,0.055,-0.06,-0.045,-0.075
"Dauphin Island, AL",1975,4,0.029,-0.06,-0.044,-0.075
"Dauphin Island, AL",1976,1,-0.084,-0.056,-0.042,-0.071
"Dauphin Island, AL",1976,2,-0.112,-0.056,-0.041,-0.071
"Dauphin Island, AL",1976,3,-0.046,-0.056,-0.041,-0.071
"Dauphin Island, AL",1976,4,0.008,-0.055,-0.041,-0.07
"Dauphin Island, AL",1976,5,-0.013,-0.055,-0.04,-0.07
"Dauphin Island, AL",1976,6,0.014,-0.055,-0.04,-0.069
"Dauphin Island, AL",1976,7,-0.089,-0.054,-0.04,-0.069
"Dauphin Island, AL",1976,8,-0.107,-0.054,-0.039,-0.069
"Dauphin Island, AL",1976,9,-0.118,-0.054,-0.039,-0.068
"Dauphin Island, AL",1976,10,-0.163,-0.053,-0.039,-0.068
"Dauphin Island, AL",1976,11,-0.182,-0.053,-0.038,-0.067
"Dauphin Island, AL",1976,12,-0.113,-0.053,-0.038,-0.067
"Dauphin Island, AL",1977,1,-0.114,-0.052,-0.038,-0.067
"Dauphin Island, AL",1977,2,-0.145,-0.052,-0.038,-0.066
"Dauphin Island, AL",1977,3,-0.034,-0.052,-0.037,-0.066
"Dauphin Island, AL",1977,4,-0.012,-0.051,-0.037,-0.066
"Dauphin Island, AL",1977,5,-0.007,-0.051,-0.037,-0.065
"Dauphin Island, AL",1977,6,-0.093,-0.051,-0.036,-0.065
"Dauphin Island, AL",1977,7,-0.08,-0.05,-0.036,-0.064
"Dauphin Island, AL",1977,8,0.011,-0.05,-0.036,-0.064
"Dauphin Island, AL",1977,9,0.022,-0.05,-0.035,-0.064
"Dauphin Island, AL",1977,10,-0.083,-0.049,-0.035,-0.063
"Dauphin Island, AL",1977,11,0.023,-0.049,-0.035,-0.063
"Dauphin Island, AL",1977,12,-0.034,-0.049,-0.035,-0.062
"Dauphin Island, AL",1978,1,-0.096,-0.048,-0.034,-0.062
"Dauphin Island, AL",1978,2,-0.082,-0.048,-0.034,-0.062
"Dauphin Island, AL",1978,3,-0.123,-0.047,-0.034,-0.061
"Dauphin Island, AL",1978,4,-0.106,-0.047,-0.033,-0.061
"Dauphin Island, AL",1978,5,-0.001,-0.047,-0.033,-0.061
"Dauphin Island, AL",1978,6,-0.041,-0.046,-0.033,-0.06
"Dauphin Island, AL",1978,7,-0.052,-0.046,-0.032,-0.06
"Dauphin Island, AL",1978,8,-0.071,-0.046,-0.032,-0.059
"Dauphin Island, AL",1978,9,-0.06,-0.045,-0.032,-0.059
"Dauphin Island, AL",1978,10,-0.059,-0.045,-0.031,-0.059
"Dauphin Island, AL",1978,11,-0.008,-0.045,-0.031,-0.058
"Dauphin Island, AL",1978,12,-0.04,-0.044,-0.031,-0.058
"Dauphin Island, AL",1979,1,-0.059,-0.044,-0.031,-0.058
"Dauphin Island, AL",1979,2,-0.072,-0.044,-0.03,-0.057
"Dauphin Island, AL",1979,3,0.048,-0.043,-0.03,-0.057
"Dauphin Island, AL",1979,4,0.108,-0.043,-0.03,-0.056
"Dauphin Island, AL",1979,5,-0.035,-0.043,-0.029,-0.056
"Dauphin Island, AL",1979,6,-0.029,-0.042,-0.029,-0.056
"Dauphin Island, AL",1979,7,0.061,-0.042,-0.029,-0.055
"Dauphin Island, AL",1979,8,-0.001,-0.042,-0.028,-0.055
"Dauphin Island, AL",1979,9,0.028,-0.041,-0.028,-0.055
"Dauphin Island, AL",1979,10,-0.074,-0.041,-0.028,-0.054
"Dauphin Island, AL",1979,11,-0.088,-0.041,-0.027,-0.054
"Dauphin Island, AL",1979,12,-0.052,-0.04,-0.027,-0.053
"Dauphin Island, AL",1980,1,0.054,-0.04,-0.027,-0.053
"Dauphin Island, AL",1980,2,-0.017,-0.04,-0.026,-0.053
"Dauphin Island, AL",1980,3,-0.016,-0.039,-0.026,-0.052
"Dauphin Island, AL",1980,4,0.044,-0.039,-0.026,-0.052
"Dauphin Island, AL",1980,5,-0.025,-0.039,-0.026,-0.052
"Dauphin Island, AL",1980,6,-0.068,-0.038,-0.025,-0.051
"Dauphin Island, AL",1980,7,-0.07,-0.038,-0.025,-0.051
"Dauphin Island, AL",1980,8,-0.049,-0.038,-0.025,-0.05
"Dauphin Island, AL",1980,9,-0.091,-0.037,-0.024,-0.05
"Dauphin Island, AL",1980,10,-0.175,-0.037,-0.024,-0.05
"Dauphin Island, AL",1980,11,-0.063,-0.036,-0.024,-0.049
"Dauphin Island, AL",1980,12,-0.08,-0.036,-0.023,-0.049
"Dauphin Island, AL",1981,1,-0.105,-0.036,-0.023,-0.048
"Dauphin Island, AL",1981,2,-0.014,-0.035,-0.023,-0.048
"Dauphin Island, AL",1981,3,-0.064,-0.035,-0.022,-0.048
"Dauphin Island, AL",1982,1,-0.05,-0.032,-0.019,-0.044
"Dauphin Island, AL",1982,2,-0.005,-0.031,-0.019,-0.044
"Dauphin Island, AL",1982,3,-0.022,-0.031,-0.019,-0.043
"Dauphin Island, AL",1982,4,-0.088,-0.031,-0.018,-0.043
"Dauphin Island, AL",1982,5,-0.062,-0.03,-0.018,-0.042
"Dauphin Island, AL",1982,6,-0.044,-0.03,-0.018,-0.042
"Dauphin Island, AL",1982,7,-0.092,-0.03,-0.017,-0.042
"Dauphin Island, AL",1982,8,-0.083,-0.029,-0.017,-0.041
"Dauphin Island, AL",1982,9,-0.076,-0.029,-0.017,-0.041
"Dauphin Island, AL",1982,10,-0.028,-0.029,-0.017,-0.041
"Dauphin Island, AL",1982,11,-0.002,-0.028,-0.016,-0.04
"Dauphin Island, AL",1982,12,0.131,-0.028,-0.016,-0.04
"Dauphin Island, AL",1983,1,0.066,-0.028,-0.016,-0.039
"Dauphin Island, AL",1983,2,0.089,-0.027,-0.015,-0.039
"Dauphin Island, AL",1983,3,0.067,-0.027,-0.015,-0.039
"Dauphin Island, AL",1983,4,0.038,-0.026,-0.015,-0.038
"Dauphin Island, AL",1983,5,0.054,-0.026,-0.014,-0.038
"Dauphin Island, AL",1983,6,0.042,-0.026,-0.014,-0.038
"Dauphin Island, AL",1983,7,0,-0.025,-0.014,-0.037
"Dauphin Island, AL",1983,8,-0.04,-0.025,-0.013,-0.037
"Dauphin Island, AL",1983,9,-0.076,-0.025,-0.013,-0.036
"Dauphin Island, AL",1983,10,-0.013,-0.024,-0.013,-0.036
"Dauphin Island, AL",1983,11,0.029,-0.024,-0.012,-0.036
"Dauphin Island, AL",1983,12,0.015,-0.024,-0.012,-0.035
"Dauphin Island, AL",1984,1,0.014,-0.023,-0.012,-0.035
"Dauphin Island, AL",1984,2,-0.039,-0.023,-0.012,-0.035
"Dauphin Island, AL",1984,3,-0.052,-0.023,-0.011,-0.034
"Dauphin Island, AL",1984,4,-0.036,-0.022,-0.011,-0.034
"Dauphin Island, AL",1984,5,-0.01,-0.022,-0.011,-0.034
"Dauphin Island, AL",1984,6,-0.01,-0.022,-0.01,-0.033
"Dauphin Island, AL",1984,7,0.033,-0.021,-0.01,-0.033
"Dauphin Island, AL",1984,8,-0.01,-0.021,-0.01,-0.032
"Dauphin Island, AL",1984,9,-0.045,-0.021,-0.009,-0.032
"Dauphin Island, AL",1984,10,0.014,-0.02,-0.009,-0.032
"Dauphin Island, AL",1984,11,0.005,-0.02,-0.009,-0.031
"Dauphin Island, AL",1984,12,0.057,-0.02,-0.008,-0.031
"Dauphin Island, AL",1985,1,-0.044,-0.019,-0.008,-0.031
"Dauphin Island, AL",1985,2,-0.023,-0.019,-0.008,-0.03
"Dauphin Island, AL",1985,3,-0.022,-0.019,-0.007,-0.03
"Dauphin Island, AL",1985,4,-0.051,-0.018,-0.007,-0.029
"Dauphin Island, AL",1985,5,-0.032,-0.018,-0.007,-0.029
"Dauphin Island, AL",1985,6,-0.093,-0.018,-0.006,-0.029
"Dauphin Island, AL",1985,7,-0.067,-0.017,-0.006,-0.028
"Dauphin Island, AL",1985,8,0.066,-0.017,-0.006,-0.028
"Dauphin Island, AL",1985,9,-0.009,-0.017,-0.005,-0.028
"Dauphin Island, AL",1985,10,0.106,-0.016,-0.005,-0.027
"Dauphin Island, AL",1985,11,0.045,-0.016,-0.005,-0.027
"Dauphin Island, AL",1985,12,-0.043,-0.015,-0.005,-0.026
"Dauphin Island, AL",1986,1,-0.059,-0.015,-0.004,-0.026
"Dauphin Island, AL",1986,2,0.01,-0.015,-0.004,-0.026
"Dauphin Island, AL",1986,3,-0.086,-0.014,-0.004,-0.025
"Dauphin Island, AL",1986,4,-0.051,-0.014,-0.003,-0.025
"Dauphin Island, AL",1986,5,0.032,-0.014,-0.003,-0.025
"Dauphin Island, AL",1986,6,-0.004,-0.013,-0.003,-0.024
"Dauphin Island, AL",1986,7,-0.077,-0.013,-0.002,-0.024
"Dauphin Island, AL",1986,8,-0.098,-0.013,-0.002,-0.024
"Dauphin Island, AL",1986,9,-0.033,-0.012,-0.002,-0.023
"Dauphin Island, AL",1986,10,0.029,-0.012,-0.001,-0.023
"Dauphin Island, AL",1986,11,0.048,-0.012,-0.001,-0.022
"Dauphin Island, AL",1986,12,0.03,-0.011,-0.001,-0.022
"Dauphin Island, AL",1987,1,-0.01,-0.011,0,-0.022
"Dauphin Island, AL",1987,2,0.041,-0.011,0,-0.021
"Dauphin Island, AL",1987,3,0.115,-0.01,0,-0.021
"Dauphin Island, AL",1987,4,-0.146,-0.01,0.001,-0.021
"Dauphin Island, AL",1987,5,-0.062,-0.01,0.001,-0.02
"Dauphin Island, AL",1987,6,0.008,-0.009,0.001,-0.02
"Dauphin Island, AL",1987,7,0.027,-0.009,0.002,-0.02
"Dauphin Island, AL",1987,8,-0.089,-0.009,0.002,-0.019
"Dauphin Island, AL",1987,9,-0.1,-0.008,0.002,-0.019
"Dauphin Island, AL",1987,10,-0.19,-0.008,0.003,-0.018
"Dauphin Island, AL",1987,11,-0.027,-0.008,0.003,-0.018
"Dauphin Island, AL",1987,12,-0.007,-0.007,0.003,-0.018
"Dauphin Island, AL",1988,1,-0.05,-0.007,0.004,-0.017
"Dauphin Island, AL",1988,2,-0.084,-0.007,0.004,-0.017
"Dauphin Island, AL",1988,3,-0.107,-0.006,0.004,-0.017
"Dauphin Island, AL",1988,4,-0.064,-0.006,0.004,-0.016
"Dauphin Island, AL",1988,5,-0.114,-0.006,0.005,-0.016
"Dauphin Island, AL",1988,6,-0.062,-0.005,0.005,-0.016
"Dauphin Island, AL",1988,7,-0.064,-0.005,0.005,-0.015
"Dauphin Island, AL",1988,8,-0.056,-0.004,0.006,-0.015
"Dauphin Island, AL",1988,9,-0.002,-0.004,0.006,-0.014
"Dauphin Island, AL",1988,10,-0.062,-0.004,0.006,-0.014
"Dauphin Island, AL",1988,11,-0.011,-0.003,0.007,-0.014
"Dauphin Island, AL",1988,12,-0.049,-0.003,0.007,-0.013
"Dauphin Island, AL",1989,1,0.032,-0.003,0.007,-0.013
"Dauphin Island, AL",1989,2,-0.048,-0.002,0.008,-0.013
"Dauphin Island, AL",1989,3,-0.009,-0.002,0.008,-0.012
"Dauphin Island, AL",1989,4,-0.076,-0.002,0.008,-0.012
"Dauphin Island, AL",1989,5,-0.096,-0.001,0.009,-0.012
"Dauphin Island, AL",1989,6,0.035,-0.001,0.009,-0.011
"Dauphin Island, AL",1989,7,0.042,-0.001,0.009,-0.011
"Dauphin Island, AL",1989,8,-0.004,0,0.01,-0.01
"Dauphin Island, AL",1989,9,-0.036,0,0.01,-0.01
"Dauphin Island, AL",1989,10,-0.092,0,0.01,-0.01
"Dauphin Island, AL",1989,11,-0.063,0.001,0.011,-0.009
"Dauphin Island, AL",1989,12,-0.132,0.001,0.011,-0.009
"Dauphin Island, AL",1990,1,-0.029,0.001,0.011,-0.009
"Dauphin Island, AL",1990,2,0.074,0.002,0.012,-0.008
"Dauphin Island, AL",1990,3,0.112,0.002,0.012,-0.008
"Dauphin Island, AL",1990,4,-0.012,0.002,0.012,-0.008
"Dauphin Island, AL",1990,5,0.032,0.003,0.013,-0.007
"Dauphin Island, AL",1990,6,-0.025,0.003,0.013,-0.007
"Dauphin Island, AL",1990,7,0.009,0.003,0.013,-0.007
"Dauphin Island, AL",1990,8,0.002,0.004,0.014,-0.006
"Dauphin Island, AL",1990,9,-0.076,0.004,0.014,-0.006
"Dauphin Island, AL",1990,10,-0.038,0.004,0.014,-0.005
"Dauphin Island, AL",1990,11,0.06,0.005,0.015,-0.005
"Dauphin Island, AL",1990,12,-0.001,0.005,0.015,-0.005
"Dauphin Island, AL",1991,1,0.041,0.005,0.015,-0.004
"Dauphin Island, AL",1991,2,-0.066,0.006,0.016,-0.004
"Dauphin Island, AL",1991,3,0.036,0.006,0.016,-0.004
"Dauphin Island, AL",1991,4,0.075,0.007,0.016,-0.003
"Dauphin Island, AL",1991,5,0.173,0.007,0.017,-0.003
"Dauphin Island, AL",1991,6,0.039,0.007,0.017,-0.003
"Dauphin Island, AL",1991,7,-0.003,0.008,0.017,-0.002
"Dauphin Island, AL",1991,8,-0.04,0.008,0.018,-0.002
"Dauphin Island, AL",1991,9,-0.002,0.008,0.018,-0.002
"Dauphin Island, AL",1991,10,0.011,0.009,0.018,-0.001
"Dauphin Island, AL",1991,11,-0.033,0.009,0.019,-0.001
"Dauphin Island, AL",1991,12,-0.031,0.009,0.019,0
"Dauphin Island, AL",1992,1,0.035,0.01,0.019,0
"Dauphin Island, AL",1992,2,0.086,0.01,0.02,0
"Dauphin Island, AL",1992,3,-0.034,0.01,0.02,0.001
"Dauphin Island, AL",1992,4,-0.039,0.011,0.02,0.001
"Dauphin Island, AL",1992,5,-0.102,0.011,0.021,0.001
"Dauphin Island, AL",1992,6,0.008,0.011,0.021,0.002
"Dauphin Island, AL",1992,7,-0.046,0.012,0.021,0.002
"Dauphin Island, AL",1992,8,-0.004,0.012,0.022,0.002
"Dauphin Island, AL",1992,9,-0.002,0.012,0.022,0.003
"Dauphin Island, AL",1992,10,0.039,0.013,0.022,0.003
"Dauphin Island, AL",1992,11,0.026,0.013,0.023,0.003
"Dauphin Island, AL",1992,12,0.045,0.013,0.023,0.004
"Dauphin Island, AL",1993,1,0.099,0.014,0.023,0.004
"Dauphin Island, AL",1993,2,0.059,0.014,0.024,0.004
